Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
GOED,1847 Goedeker Inc.,9.32,$56.96M,2020.0,Consumer Services,Home Furnishings,https://old.nasdaq.com/symbol/goed,
XXII,"22nd Century Group, Inc",2.78,$386.03M,,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/xxii,
FAX,Aberdeen Asia-Pacific Income Fund Inc,4.35,$1.08B,1986.0,,,https://old.nasdaq.com/symbol/fax,
IAF,Aberdeen Australia Equity Fund Inc,5.41,$125.11M,,,,https://old.nasdaq.com/symbol/iaf,
AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",8.47,$429.87M,,,,https://old.nasdaq.com/symbol/aef,
FCO,"Aberdeen Global Income Fund, Inc.",8.08,$70.55M,1992.0,,,https://old.nasdaq.com/symbol/fco,
ACU,Acme United Corporation.,31.58,$105.44M,1988.0,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/acu,
ATNM,"Actinium Pharmaceuticals, Inc.",8.3,$112.77M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/atnm,
AE,"Adams Resources & Energy, Inc.",24.49,$103.89M,,Energy,Oil Refining/Marketing,https://old.nasdaq.com/symbol/ae,
ACY,AeroCentury Corp.,8.1889,$12.66M,,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/acy,
UAVS,"AgEagle Aerial Systems, Inc.",10.01,$586.95M,,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/uavs,
AGE,"AgeX Therapeutics, Inc.",1.84,$69.35M,2018.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/age,
AIRI,Air Industries Group,1.53,$48.55M,,Capital Goods,Military/Government/Technical,https://old.nasdaq.com/symbol/airi,
AXU,Alexco Resource Corp,2.57,$352.24M,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/axu,
AAU,"Almaden Minerals, Ltd.",0.5639,$67.98M,2015.0,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/aau,
APT,"Alpha Pro Tech, Ltd.",12.5,$169.72M,,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/apt,
AAMC,Altisource Asset Management Corp,21.3,$35.15M,,Finance,Real Estate,https://old.nasdaq.com/symbol/aamc,
AMBO,Ambow Education Holding Ltd.,2.41,$55.95M,,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/ambo,
DIT,AMCON Distributing Company,105.0,$57.9M,,Consumer Non-Durables,Food Distributors,https://old.nasdaq.com/symbol/dit,
AMS,American Shared Hospital Services,2.325,$13.39M,,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/ams,
USAS,Americas Gold and Silver Corporation,2.61,$307.92M,2017.0,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/usas,
AMPE,"Ampio Pharmaceuticals, Inc.",1.36,$251.67M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ampe,
ANVS,"Annovis Bio, Inc.",10.0199,$69.05M,2020.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/anvs,
